location,BHK,total_sqft,bath,price
Budhwar Peth,3,1200,3,56.58
Camp,3,1709,3,80
Chandan Nagar,4,600,4,60
Dehu Road,3,1400,2,50
Dhankawadi,2,1200,2,42
Dhayari Phata,3,1439,3,57.23
Dhole Patil Road,2,1375,2,72
Fatima Nagar,3,1200,2,75
Fergusson College Road,2,1315,2,75
Ganesh Peth,2,1500,2,40
Ghorpade Peth,2,1178,2,82
Ghorpadi,3,1430,3,59
Gokhale Nagar,3,1400,2,65.8
Gultekdi,2,1093,2,72
Guruwar peth,2,1200,2,45
Hadapsar Industrial Estate,3,1200,2,130
Hingne Khurd,3,2210,3,156
Jangali Maharaj Road,2,1150,2,70
Kalyani Nagar,3,1435,2,60
Karve Road,2,1173,2,78.2
Kasba Peth,2,1140,2,39
Katraj,3,1717,3,120
Khadaki,2,1325,2,65
Khadki,3,1370,3,67
Kharadi,2,1025,2,90
Kondhwa,3,1409,2,62
Kondhwa Budruk,2,1200,2,52
Kondhwa Khurd,2,1200,2,53.5
Koregaon Park,3,1740,4,130
Kothrud,2,1232,2,88
Law College Road,2,1200,2,36
Lulla Nagar,2,1250,2,50
Mangalwar peth,4,2100,4,85
Manik Bagh,1,552,1,23.5
Market yard,3,1065,2,42.59
Mukund Nagar,2,1225,2,65
Mundhawa,1,650,1,16
Nagar Road,2,1067,2,52
Nana Peth,3,1364,2,56
Narayan Peth,3,1750,3,75
Narayangaon,2,1240,2,71
Navi Peth,2,1200,2,75
Padmavati,3,1540,3,75
Parvati Darshan,3,1504,2,102
Pashan,2,1116,2,49.8
Paud Road,3,2365,4,175
Pirangut,2,1308,2,37
Prabhat Road,2,864,2,45
Rasta Peth,3,1069,2,38
Raviwar Peth,2,1333,2,100
Sadashiv Peth,4,1800,4,145
Salunke Vihar,3,1698,3,107
Sasson Road,3,1275,2,43.6
Satara Road,2,1060,2,48
Senapati Bapat Road,2,1160,2,49
Shaniwar Peth,3,1484,2,65
Shivaji Nagar,3,675,3,70
Sinhagad Road,2,1310,2,66
Tilak Road,3,2145,3,165
Uruli Devachi,3,1693,3,125
Vadgaon Budruk,3,1230,3,60
Viman Nagar,3,1310,2,37.83
Vishrant Wadi,2,1150,2,60
Wagholi,3,1385,2,66.5
Wakadewadi,2,1066,2,52.5
Wanowrie,3,2293,3,80.26
Yerawada,3,1625,3,92
Alandi Road,2,1246,2,67.4
Anandnagar,4,2400,4,250
Aundh Road,2,1000,2,70.65
Balaji Nagar,2,907,2,38
Baner road,3,1395,2,79
Bhandarkar Road,2,1180,2,50
Bhavani Peth,5,1903,6,140
Bibvewadi,2,1175,2,47
Bopodi,2,1272,2,51.5
Budhwar Peth,3,1490,2,92
Bund Garden Road,2,1144,2,67
Camp,4,2400,5,140
Chandan Nagar,2,1143,2,53
Dapodi,3,2500,3,190
Deccan Gymkhana,2,1216,2,75
Dehu Road,2,1044,2,60
Dhankawadi,2,1352,3,93
Dhayari Phata,3,1552,3,75
Dhole Patil Road,3,1785,3,120
Erandwane,2,810,2,34.5
Fatima Nagar,3,1650,3,51.98
Fergusson College Road,3,1595,3,70.39
Ganesh Peth,2,1060,2,35
Ganeshkhind,3,1410,2,65
Ghorpade Peth,3,1523,2,56
Ghorpadi,3,1591,3,122
Gokhale Nagar,3,1640,3,84
Gultekdi,1,450,1,16
Guruwar peth,3,1305,2,60
Hadapsar,3,1590,3,54
Hadapsar Industrial Estate,2,1240,2,45
Hingne Khurd,2,1200,2,54
Jangali Maharaj Road,2,1100,2,41.16
Kalyani Nagar,2,1180,2,128
Karve Nagar,2,1115,2,50
Karve Road,2,845,2,33
Katraj,3,1310,2,45
Khadki,2,959,2,42.5
Kondhwa,2,883,2,37
Kondhwa Budruk,2,1050,2,55.5
Kondhwa Khurd,2,1390,2,70.21
Koregaon Park,2,1276,2,46
Kothrud,3,1280,2,69
Laxmi Road,3,1614,3,95
Lulla Nagar,2,1000,2,58
Mahatma Gandhi Road,2,1196,2,57.9
Mangalwar peth,3,1220,3,57
Manik Bagh,2,950,2,31.95
Model colony,2,1141,2,55
Mukund Nagar,2,1200,2,51
Mundhawa,3,1380,2,55
Nagar Road,2,855,2,32
Nana Peth,1,645,1,16.45
Narayan Peth,2,922,2,36
Narayangaon,2,1200,2,43.2
Navi Peth,3,1240,2,65
Padmavati,2,1070,2,42
Parvati Darshan,2,1293,2,75
Pashan,3,1380,2,50
Paud Road,3,1599,3,80
Pirangut,2,967,2,41.1
Prabhat Road,3,1885,3,90
Pune Railway Station,2,860,2,65.5
Rasta Peth,1,1075,1,19.5
Raviwar Peth,2,1050,2,63.5
Sadashiv Peth,3,1595,3,88
Sahakar Nagar,2,1350,2,102
Salunke Vihar,2,1204,2,45
Satara Road,2,1035,2,49
Senapati Bapat Road,2,1000,2,29.95
Shaniwar Peth,3,1457,3,85
Shivaji Nagar,2,1194,2,47
Shukrawar Peth,2,1100,2,66
Sinhagad Road,3,1655,3,120
Somwar Peth,3,1691.2,3,115
Swargate,2,1215,2,46.1
Tilak Road,2,1155,2,50.125
Uruli Devachi,3,1639,3,129
Vadgaon Budruk,3,1685,3,135
Viman Nagar,2,1100,2,38
Vishrant Wadi,3,2122,3,125
Wagholi,2,1050,2,47
Wakadewadi,2,1230,2,45
Wanowrie,3,1240,3,60
Warje,3,1252,2,65
Yerawada,3,1374,2,88
Alandi Road,1,500,1,30
Anandnagar,3,1355,3,83.87
Aundh,2,1040,2,45
Aundh Road,2,1350,2,68
Baner,3,2400,3,135
Baner road,3,1560,3,90
Bhandarkar Road,2,1151,2,43.16
Bhavani Peth,3,1360,2,47.59
Bibvewadi,2,1250,2,60
Bopodi,3,1110,2,29.97
Budhwar Peth,2,1015,2,50
Bund Garden Road,3,1351,2,78
Camp,2,960,2,50
Chandan Nagar,2,1110,2,52
Dapodi,3,1680,3,72
Deccan Gymkhana,3,2400,3,180
Dhankawadi,3,1350,3,48.6
Dhayari Phata,2,1254,2,47
Dhole Patil Road,3,1255,3,115
Erandwane,2,1051,2,61
Fergusson College Road,2,1099,2,65
Ganeshkhind,4,2000,2,160
Ghorpade Peth,2,1541,2,130
Ghorpadi,3,1200,3,70
Gokhale Nagar,2,1125,2,45
Gultekdi,3,1650,3,85
Guruwar peth,1,834,1,62
Hadapsar,3,1320,3,60
Jangali Maharaj Road,3,1500,3,74
Karve Nagar,1,1276,1,125
Karve Road,1,600,1,52
Kasba Peth,2,1180,2,70
Katraj,2,1010,2,50
Khadaki,2,1070,2,38
Khadki,3,1580,3,105
Kondhwa,3,2000,3,165
Kondhwa Budruk,3,1920,3,130
Kondhwa Khurd,3,1200,2,76
Koregaon Park,2,1040,2,45
Kothrud,3,1430,2,90
Law College Road,3,1215,2,52.85
Laxmi Road,1,650,1,70
Lulla Nagar,3,1564,3,105
Mahatma Gandhi Road,3,800,2,52
Mangalwar peth,2,750,2,58
Manik Bagh,2,1200,2,60
Market yard,2,1128,2,48.79
Model colony,2,1200,2,44.4
Mukund Nagar,4,2000,4,135
Nana Peth,3,1650,3,105
Narayangaon,2,1200,2,55
Padmavati,2,985,2,42
Parvati Darshan,3,1475,2,63
Paud Road,3,1157,2,53.99
Pirangut,2,900,2,35
Prabhat Road,4,2500,3,120
Pune Railway Station,2,1030,2,60
Rasta Peth,2,1000,2,46
Sahakar Nagar,5,1950,6,175
Salunke Vihar,3,1570,2,65.94
Sasson Road,2,1283,2,68
Satara Road,3,875,2,40
Senapati Bapat Road,2,1200,2,52
Shivaji Nagar,3,2400,2,180
Shukrawar Peth,3,1250,2,68.75
Somwar Peth,2,990,2,37.62
Swargate,2,1199,2,85
Tilak Road,2,1280,2,90
Vadgaon Budruk,2,1190,2,55
Wadgaon Sheri,2,1100,2,60
Viman Nagar,3,2075,3,175
Vishrant Wadi,2,1133,2,55
Wagholi,4,2400,3,140
Wakadewadi,2,1280,2,69
Wanowrie,3,1250,3,65
Warje,3,1565,2,49.3
Yerawada,3,1900,3,65
Alandi Road,2,1080,2,45
Ambegaon Budruk,1,600,1,47
Aundh,3,1335,2,87
Aundh Road,2,1246,2,67.3
Baner,3,1385,3,55
Baner road,3,1578,3,73.9
Bhandarkar Road,2,1140,2,46
Bhavani Peth,3,1700,3,79.9
Bibvewadi,4,1050,4,90
Bopodi,2,1120,2,70
Budhwar Peth,1,435,1,22
Bund Garden Road,2,1116,2,51.89
Camp,3,1480,3,95
Chandan Nagar,2,1000,2,50
Dapodi,2,1145,2,46
Deccan Gymkhana,2,800,1,32
Dehu Road,2,1265,2,83
Dhankawadi,3,1700,3,88.2
Dhayari Phata,2,1475,2,70
Dhole Patil Road,2,1265,2,55
Erandwane,2,1200,2,58
Fatima Nagar,3,2180,3,210
Fergusson College Road,2,1080,2,50
Ganesh Peth,3,2023,4,130
Ganeshkhind,2,2400,2,125
Ghorpade Peth,3,1545,2,66
Ghorpadi,3,1804,3,166
Gultekdi,3,1350,2,58
Guruwar peth,2,1108,2,74.23
Hadapsar,3,1730,3,115
Hadapsar Industrial Estate,3,1427,2,70
Hingne Khurd,2,935,2,35.53
Jangali Maharaj Road,2,1073,2,31.77
Kalyani Nagar,2,960,2,37
Karve Nagar,3,2215,4,150
Karve Road,2,1125,2,32.49
Kasba Peth,2,1230,2,55
Katraj,2,1438,2,89
Khadaki,2,1080,2,75
Khadki,3,1200,3,125
Kharadi,2,1200,1,103
Kondhwa,3,1590,3,58
Kondhwa Budruk,3,1350,3,68
Kondhwa Khurd,3,1400,2,48
Koregaon Park,3,1560,2,72
Kothrud,4,1810,3,57
Law College Road,3,2274.24,4,160
Laxmi Road,3,1484,3,74.18
Mahatma Gandhi Road,3,1455,2,55
Mangalwar peth,3,2280,4,184
Market yard,3,2079,3,220
Model colony,2,1351,2,74
Mukund Nagar,3,1223,2,42.81
Mundhawa,3,1430,2,61
Nana Peth,3,1310,2,37.83
Navi Peth,2,984,2,55
Padmavati,3,1770,3,100
Pashan,5,1350,5,120
Paud Road,2,1447,2,75.97
Pirangut,2,1140,2,60
Prabhat Road,2,1170,2,34
Pune Railway Station,2,1160,2,46.39
Rasta Peth,2,1296,2,89
Raviwar Peth,3,1570,3,80
Sadashiv Peth,3,1495,2,65
Sahakar Nagar,3,1530,2,67
Sasson Road,3,1800,3,70
Satara Road,2,1088,2,48
Senapati Bapat Road,3,1533,3,98.18
Shaniwar Peth,2,1100,2,68
Shivaji Nagar,3,1540,3,90
Shukrawar Peth,2,1244,3,48
Sinhagad Road,2,1040,2,68.59
Somwar Peth,6,1034,6,101
Swargate,2,1260,2,39.69
Tilak Road,2,1180,2,41.3
Uruli Devachi,2,1245,2,100
Vadgaon Budruk,3,1350,3,75
Wadgaon Sheri,3,1464,3,56
Viman Nagar,1,470,2,10
Vishrant Wadi,2,920,2,60
Wagholi,6,2300,7,160
Wakadewadi,2,1124,2,30.35
Wanowrie,4,2095,3,109
Warje,2,1100,2,71.42
Yerawada,2,1019,2,58
Alandi Road,3,1756,3,128
Ambegaon Budruk,3,1280,3,50
Anandnagar,4,1200,3,125
Aundh,3,1700,3,150
Aundh Road,3,2134,4,118
Balaji Nagar,2,1369.1,2,98
Bhandarkar Road,3,2515,4,155
Bhavani Peth,3,2215,4,154
Bibvewadi,3,1440,3,72
Bopodi,3,1186,2,55.33
Budhwar Peth,3,1350,2,47.24
Bund Garden Road,3,1800,3,140
Camp,3,1600,3,79
Chandan Nagar,2,1000,2,35
Deccan Gymkhana,3,1305,2,59
Dehu Road,3,1740,3,150
Dhankawadi,2,900,2,90
Dhayari Phata,2,1567,3,140
Dhole Patil Road,3,1082,2,45.5
Erandwane,2,1050,2,80
Fatima Nagar,2,1200,2,56
Ganesh Peth,2,1220,2,52
Ganeshkhind,3,1970,3,164
Ghorpadi,4,2130,4,120
Gokhale Nagar,3,1749,3,120
Gultekdi,2,1260,2,108
Guruwar peth,3,1276,2,48
Hadapsar,2,1170,2,120
Hadapsar Industrial Estate,3,1670,3,75
Hingne Khurd,3,2264,3,168
Kalyani Nagar,2,1100,2,55
Karve Nagar,2,674,1,19.9
Katraj,2,1125,2,65
Khadaki,2,1125,2,44.5
Khadki,2,700,2,29
Kharadi,3,1300,2,75
Kondhwa,3,1600,3,83
Kondhwa Budruk,3,1052,2,60
Koregaon Park,2,1130,2,36
Law College Road,3,2200,3,220
Laxmi Road,3,1500,2,63
Lulla Nagar,3,1350,3,47.25
Mahatma Gandhi Road,3,1230,2,52
Mangalwar peth,3,1520,2,85
Manik Bagh,1,525,1,26.25
Market yard,2,1040,2,61
Model colony,3,1300,2,67
Mundhawa,1,780,1,70
Nagar Road,2,1140,2,51.2
Nana Peth,3,1225,3,33.08
Narayan Peth,1,646,1,25.84
Narayangaon,3,1600,3,150
Navi Peth,3,1890,4,125
Padmavati,2,1050,2,34
Parvati Darshan,6,1200,4,100
Pashan,3,1458,2,62
Paud Road,5,1200,6,86
Pirangut,3,1970,3,160
Prabhat Road,3,1808,4,80
Pune Railway Station,2,1007,2,67
Rasta Peth,2,1105,2,50
Raviwar Peth,3,1700,3,150
Sadashiv Peth,2,1170,2,50
Sahakar Nagar,2,1080,2,45
Salunke Vihar,3,1150,2,62
Sasson Road,2,1200,2,57.9
Satara Road,2,1200,2,54
Senapati Bapat Road,3,1656,3,75
Shivaji Nagar,2,1040,2,50
Shukrawar Peth,2,1085,2,33.7
Sinhagad Road,3,1215,2,49.75
Somwar Peth,4,2150,4,115
Swargate,4,1100,4,120
Tilak Road,2,1210,2,77
Uruli Devachi,2,1050,2,55
Wadgaon Sheri,3,1920,3,150
Viman Nagar,3,1250,2,50
Vishrant Wadi,2,947.55,2,80
Wagholi,2,1421,2,90
Wanowrie,3,1425,2,74.31
Warje,2,1162,2,58
Yerawada,1,905,1,60
Alandi Road,2,914,2,32
Ambegaon Budruk,2,1258,2,58
Baner,3,1537,2,70
Baner road,3,1230,2,53.51
Bhavani Peth,3,2250,3,200
Bibvewadi,4,2000,4,69
Camp,2,950,2,32
Dapodi,3,1282,2,48.72
Deccan Gymkhana,2,1304,2,111
Dehu Road,3,2100,3,200
Dhankawadi,3,1220,2,49
Dhayari Phata,3,1636,3,85
Dhole Patil Road,3,1415,3,65
Fatima Nagar,3,1728,3,125
Fergusson College Road,3,1680,3,125
Ghorpadi,2,1495,2,83
Gultekdi,3,2501,3,138
Guruwar peth,1,381,1,28
Hadapsar Industrial Estate,3,2002,3,120
Jangali Maharaj Road,2,1200,2,70
Karve Nagar,3,1942,3,90
Karve Road,3,1522.5,2,60.75
Khadaki,3,1450,3,90
Khadki,2,1039,2,50
Kharadi,2,1210,2,80
Kondhwa,2,995,1,24.88
Kondhwa Budruk,3,1620,3,90
Kothrud,2,1314,2,55
Law College Road,2,945,2,33
Laxmi Road,3,1374,3,72
Lulla Nagar,3,1603,3,113
Mahatma Gandhi Road,3,1230,2,52
Mangalwar peth,1,670,1,50
Manik Bagh,4,1864,3,105
Market yard,3,2500,3,100
Model colony,3,1625,2,54
Mukund Nagar,2,1186,2,55
Nagar Road,2,770,1,39.9
Nana Peth,2,1085,2,45
Narayangaon,3,1893,3,115
Navi Peth,4,600,3,65
Padmavati,3,1496,2,78
Parvati Darshan,3,1305,3,33.28
Pashan,3,1550,2,82
Paud Road,3,1200,2,58.17
Pirangut,3,1494,2,94.55
Prabhat Road,2,1286,2,69
Rasta Peth,3,1860,3,95
Sadashiv Peth,2,1243,2,45
Sahakar Nagar,2,1200,2,75
Salunke Vihar,2,1044,2,32
Sasson Road,2,1040,2,41.59
Satara Road,2,1125,2,36.94
Shaniwar Peth,3,1278,2,59
Shivaji Nagar,6,2400,6,98
Shukrawar Peth,2,1250,2,43
Sinhagad Road,5,2400,6,125
Swargate,2,1210,2,75
Tilak Road,4,1200,3,110
Uruli Devachi,3,1157,2,57.84
Vadgaon Budruk,2,1185,2,51.15
Wadgaon Sheri,3,1450,3,100
Viman Nagar,3,1859,3,121
Wagholi,2,900,1,25
Wakadewadi,3,1305,3,60
Wanowrie,3,1200,2,100
Warje,1,784,1,35.285
Alandi Road,2,1150,2,36.8
Ambegaon Budruk,3,1806,3,85
Anandnagar,2,1027,2,42
Aundh,2,1002,2,40.08
Aundh Road,3,1220,2,36.21
Balaji Nagar,2,1109,2,35.22
Baner,2,1002,2,40.08
Baner road,2,1308,2,89.04
Bhandarkar Road,2,1232,2,69.6
Bhavani Peth,2,1027,2,44
Bibvewadi,2,1250,2,65
Budhwar Peth,4,960,4,80
Bund Garden Road,2,1255,2,53.87
Camp,3,1434,3,84
Chandan Nagar,2,925,2,30
Dapodi,3,1858,3,123
Deccan Gymkhana,2,1205,2,70
Dehu Road,3,1500,3,90
Dhayari Phata,2,1020,2,48.95
Dhole Patil Road,2,965,2,56
Fatima Nagar,6,1200,4,90
Fergusson College Road,2,1636,2,82.89
Ganesh Peth,3,1724,3,125
Ganeshkhind,2,1216,2,67
Ghorpade Peth,1,654,1,36.25
Ghorpadi,4,2460,7,80
Gokhale Nagar,2,1190,2,41
Guruwar peth,3,1636,3,92
Hadapsar,2,1195,2,73
Hadapsar Industrial Estate,3,2400,3,251
Hingne Khurd,2,1250,2,67
Jangali Maharaj Road,3,1452,3,90
Kalyani Nagar,3,1546,3,95
Kasba Peth,2,2260,3,80
Kharadi,1,375,1,26
Kondhwa,2,1007,2,66
Kondhwa Budruk,1,1276,1,125
Koregaon Park,2,1020,2,47
Law College Road,2,800,3,59.5
Laxmi Road,5,1200,3,95
Lulla Nagar,2,1125,2,55
Mangalwar peth,3,909,2,43
Market yard,2,1400,2,85
Model colony,2,1152,2,61
Mukund Nagar,2,958,2,34.49
Mundhawa,2,1150,2,55
Nana Peth,2,1310,2,85
Narayan Peth,3,1590,2,126
Narayangaon,3,1645,3,110
Navi Peth,3,1800,2,100
Padmavati,3,1795,3,150
Parvati Darshan,2,1100,2,35
Pashan,1,777,1,38.535
Paud Road,2,925,2,70
Pirangut,3,1542.14,3,120
Pune Railway Station,3,1430,2,54
Rasta Peth,2,1020,2,55
Raviwar Peth,4,750,2,42
Sadashiv Peth,2,1140,2,32.92
Sahakar Nagar,3,967,2,45
Salunke Vihar,4,2470,4,203
Sasson Road,2,850,1,35.5
Satara Road,2,1100,2,32
Senapati Bapat Road,3,1697,3,110
Shaniwar Peth,2,1250,2,47
Shivaji Nagar,2,1120,2,50
Shukrawar Peth,4,1200,4,95
Swargate,2,1200,2,52
Tilak Road,2,1100,2,44
Uruli Devachi,3,1417,2,76
Vadgaon Budruk,3,1492,3,88
Wadgaon Sheri,3,1498,3,79.15
Vishrant Wadi,2,1010,2,48.27
Wagholi,2,1255,2,53.5
Wakadewadi,2,1050,2,35
Wanowrie,3,1847,3,125
Warje,2,1200,2,55
Yerawada,2,982,2,37.28
Alandi Road,3,2144.6,4,145
Ambegaon Budruk,2,750,2,36.5
Anandnagar,2,919,2,35
Aundh,2,1087,2,54.3
Aundh Road,3,1480,3,74
Balaji Nagar,2,1180,2,52
Baner road,3,1221,3,65
Bhandarkar Road,2,1194,2,46
Bhavani Peth,3,2072,3,122
Bibvewadi,3,1600,3,69
Bopodi,3,2200,3,98
Bund Garden Road,2,1253,2,81.5
Camp,2,1061,2,54.92
Chandan Nagar,3,1950,3,115
Dapodi,2,1250,2,68
Deccan Gymkhana,3,1585,2,80
Dehu Road,3,1452,3,60.98
Dhankawadi,2,1015,2,37
Dhayari Phata,4,2464.5,6,118
Dhole Patil Road,2,1125,2,56.8
Erandwane,2,1116,2,40
Fatima Nagar,1,400,1,35
Ganeshkhind,2,1300,2,100
Ghorpade Peth,2,1419,2,60.42
Ghorpadi,3,1310,2,55
Gokhale Nagar,3,2072,4,152
Gultekdi,2,1240,2,58.58
Guruwar peth,3,1565,3,98.91
Hadapsar,3,1820,3,89
Hadapsar Industrial Estate,3,2500,3,88
Jangali Maharaj Road,2,1245,2,62
Kalyani Nagar,3,1315,3,65
Karve Nagar,3,1410,2,73
Karve Road,2,1375,2,60
Kasba Peth,2,1299,2,95
Katraj,2,993,2,45.5
Khadaki,2,1200,3,45
Kharadi,4,2400,5,180
Kondhwa,3,1255,2,95
Kondhwa Budruk,3,1655,3,131
Kothrud,2,550,1,15
Law College Road,1,825,2,40
Laxmi Road,3,1634,3,111
Lulla Nagar,8,1200,6,105
Mahatma Gandhi Road,2,1222,2,80
Mangalwar peth,3,1500,3,63
Manik Bagh,3,1890,4,100
Model colony,2,850,1,39.5
Mukund Nagar,2,1295,2,78.5
Mundhawa,2,1320,2,100
Narayangaon,2,1197,2,82
Navi Peth,3,1320,2,60
Padmavati,5,1180,5,98.5
Parvati Darshan,1,840,1,57.6
Pashan,1,640,1,19.83
Paud Road,3,1693,3,71.38
Pirangut,2,1000,2,62
Prabhat Road,2,1305,2,70
Pune Railway Station,1,450,1,18
Rasta Peth,1,705,1,57
Raviwar Peth,4,750,6,75
Sasson Road,3,1991,3,104
Satara Road,3,1779,3,90
Shaniwar Peth,2,870,2,38
Shivaji Nagar,3,1595,3,120
Shukrawar Peth,1,525,1,26
Swargate,3,2000,4,138
Tilak Road,3,1614,3,93
Uruli Devachi,2,1200,2,40
Vadgaon Budruk,3,1150,3,46
Viman Nagar,3,1610,3,80.48
Vishrant Wadi,2,1190,2,41
Wagholi,2,1050,2,50
Wanowrie,3,1460,2,97
Yerawada,1,600,1,33
Alandi Road,3,1569,3,70
Anandnagar,1,645,1,42.5
Balaji Nagar,2,800,2,80
Baner,2,1350,2,90
Bhandarkar Road,3,1410,2,45.12
Bhavani Peth,2,1109,2,35.47
Bopodi,1,800,1,72
Budhwar Peth,2,1215,2,68
Camp,3,2273,4,192
Chandan Nagar,2,1255,2,52.76
Dapodi,2,1020,2,49
Deccan Gymkhana,3,1225,2,82
Dehu Road,2,1120,2,60
Dhayari Phata,3,1225,2,69
Fatima Nagar,3,1984,4,145
Fergusson College Road,3,2425,3,197
Ganesh Peth,3,1200,3,56.12
Ganeshkhind,2,1127,2,45
Ghorpade Peth,3,1655,3,97
Ghorpadi,1,500,1,14
Gokhale Nagar,3,1200,3,68.38
Gultekdi,2,1000,2,43
Guruwar peth,2,1225,2,47.88
Hadapsar,2,1350,2,45
Hingne Khurd,2,1175,2,49
Jangali Maharaj Road,1,655,1,27
Kalyani Nagar,3,1311,2,84.86
Karve Road,2,1000,2,38.5
Kasba Peth,2,1196,2,96
Katraj,3,1050,2,59
Khadaki,3,1275,2,52
Khadki,2,927,2,50
Kharadi,3,1520,2,61
Kondhwa Budruk,2,1333,2,104
Kondhwa Khurd,1,600,1,18
Koregaon Park,3,1326,2,34.8
Kothrud,3,1773.5,2,85.125
Law College Road,2,1370,2,125
Laxmi Road,2,1100,2,85
Lulla Nagar,3,1650,3,100
Mahatma Gandhi Road,3,1917,3,132
Mangalwar peth,3,780,3,75
Manik Bagh,2,950,2,58.11
Market yard,2,1175,2,48.72
Model colony,2,1089,2,43.55
Mukund Nagar,3,1804,3,175
Mundhawa,2,1257,2,68.5
Nagar Road,1,650,1,19.87
Nana Peth,3,1850,3,150
Narayangaon,2,945,2,40
Navi Peth,2,1161,2,63.85
Padmavati,3,1630,3,51.35
Parvati Darshan,3,1310,2,60
Pashan,2,750,2,28
Paud Road,3,1200,3,67.77
Pirangut,2,1000,2,45
Pune Railway Station,2,1315,2,70
Rasta Peth,3,1370,2,90
Sadashiv Peth,2,1465,3,90
Salunke Vihar,2,1128,2,64
Sasson Road,3,1250,2,70
Satara Road,3,1645,3,117
Senapati Bapat Road,3,1284,2,75
Shivaji Nagar,3,1820,3,150
Shukrawar Peth,3,1580,3,73
Somwar Peth,2,1215,2,68
Swargate,2,1075,2,40
Tilak Road,3,1400,2,78
Uruli Devachi,3,1400,2,55
Vadgaon Budruk,2,845,2,30
Vishrant Wadi,2,800,2,85
Wagholi,2,1199,2,85
Wakadewadi,2,1175,2,43.48
Warje,3,1767,3,109
Yerawada,4,1800,3,90
Alandi Road,3,1856,3,135
Anandnagar,3,1613,3,150
Aundh Road,2,1290,2,90
Balaji Nagar,2,1375,2,78
Baner,2,985,2,57
Bhandarkar Road,2,1099,2,37.5
Bhavani Peth,1,605,1,13.31
Budhwar Peth,2,1200,2,53
Bund Garden Road,2,1000,2,45
Camp,3,1159,2,38
Dehu Road,3,1540,2,78
Dhankawadi,3,1503,2,93
Dhayari Phata,3,1850,4,120
Dhole Patil Road,3,1580,3,60
Erandwane,2,1190,2,39.25
Fatima Nagar,2,1200,2,61
Ganesh Peth,2,850,1,19.9
Ghorpade Peth,3,2500,2,60
Ghorpadi,3,1200,3,56.12
Gokhale Nagar,3,1500,2,52
Guruwar peth,3,1880,3,120
Hadapsar,2,1150,2,45
Hingne Khurd,2,924,2,35.11
Karve Road,3,1962,3,175
Katraj,3,1765,3,77.27
Khadaki,2,1174,2,29.35
Khadki,3,1894,3,115
Kondhwa,3,1760,3,142
Kondhwa Budruk,3,1768,3,95
Kondhwa Khurd,3,1790,3,97
Kothrud,2,1200,2,45
Law College Road,4,2540,4,160
Laxmi Road,2,1137,2,53.4
Mahatma Gandhi Road,7,1200,6,115
Mangalwar peth,3,1568,2,100
Market yard,2,1308,2,60
Mukund Nagar,3,1200,2,41
Mundhawa,1,800,1,32
Nagar Road,1,530,1,13.5
Nana Peth,3,873,2,40
Navi Peth,2,958,2,33.53
Padmavati,3,2072,4,160
Parvati Darshan,3,2273,3,159
Paud Road,1,760,1,50
Pirangut,2,1090,2,43.5
Prabhat Road,3,2072,4,155
Rasta Peth,3,1550,2,89
Raviwar Peth,2,1251,2,50
Sadashiv Peth,2,1070,2,53
Sahakar Nagar,2,1200,2,45
Salunke Vihar,3,1435,2,60
Sasson Road,3,1400,2,45
Satara Road,4,2330,3,94.71
Senapati Bapat Road,2,1200,2,60
Shaniwar Peth,2,1000,2,40
Shivaji Nagar,3,1655,2,62.89
Sinhagad Road,1,600,1,35
Somwar Peth,2,1175,2,50
Swargate,2,1155,2,40.43
Tilak Road,3,1200,3,98
Uruli Devachi,2,1149,2,65
Vadgaon Budruk,3,1745,2,98.485
Viman Nagar,2,1010,2,55
Vishrant Wadi,3,1718,3,119
Wagholi,2,650,1,20
Wakadewadi,2,1330,2,77
Wanowrie,2,1200,2,68
Warje,3,1693,3,89
Alandi Road,3,1800,4,125
Ambegaon Budruk,2,900,2,55
Anandnagar,2,1020,2,46
Aundh,3,1700,3,77
Aundh Road,1,661,1,40
Balaji Nagar,2,1280,2,60.16
Baner,5,1000,4,90
Baner road,2,1170,2,48
Bhandarkar Road,1,933,2,58
Bhavani Peth,2,1150,2,44
Bopodi,3,1380,3,130
Budhwar Peth,2,1050,2,64.8
Bund Garden Road,2,1080,2,37.8
Camp,2,1303,2,90
Chandan Nagar,2,1196,2,40.54
Dapodi,5,2500,3,180
Deccan Gymkhana,5,1200,4,95
Dehu Road,3,1250,3,41
Dhankawadi,3,1419,2,87
Dhayari Phata,2,1200,2,49
Dhole Patil Road,2,1120,2,65
Erandwane,1,762.5,1,45.4
Fatima Nagar,2,1245,2,75
Ganesh Peth,2,1093,2,34
Ganeshkhind,2,1025,1,26.63
Ghorpade Peth,2,1345,2,97
Ghorpadi,2,1500,2,45
Gokhale Nagar,2,1180,2,86
Gultekdi,2,1020,2,48.45
Guruwar peth,3,1800,3,85
Hadapsar Industrial Estate,3,2008,3,170
Hingne Khurd,3,1240,2,39.85
Jangali Maharaj Road,2,1020,2,55
Kalyani Nagar,3,2095,3,142
Karve Nagar,3,1362,3,62.63
Karve Road,1,694,1,30.84
Kasba Peth,2,1404,2,70
Katraj,3,1192,2,47
Khadki,4,1050,1,35
Kharadi,2,1259,2,67.48
Kondhwa,2,1000,2,34
Kondhwa Budruk,2,985,2,49.97
Kondhwa Khurd,1,850,1,60
Koregaon Park,3,1650,2,50
Law College Road,3,1900,4,180
Laxmi Road,2,1367,2,86
Lulla Nagar,3,1210,2,81
